servicio;servicio_padre;servicio_abrev_viz;tipo;valor
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 16 a 24 años;94,5
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 25 a 34 años;92,2
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 35 a 44 años;81,2
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 45 a 54 años;68,5
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 55 a 64 años;54,9
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 65 a 74 años;38,7
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Total Personas;50,2
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 16 a 24 años;69,8
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 25 a 34 años;62,2
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 35 a 44 años;54,1
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 45 a 54 años;46,9
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 55 a 64 años;35
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 65 a 74 años;30
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Total Personas;59,1
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 16 a 24 años;80,4
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 25 a 34 años;75,6
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 35 a 44 años;64,4
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 45 a 54 años;56
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 55 a 64 años;40,9
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 65 a 74 años;31
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Total Personas;75,9
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 16 a 24 años;91,4
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 25 a 34 años;90
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 35 a 44 años;83,8
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 45 a 54 años;72,9
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 55 a 64 años;60,5
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 65 a 74 años;48,8
