servicio;servicio_padre;servicio_abrev;tipo;valor
Actividades relacionadas con la participación política y social: Emitir opiniones sobre asuntos de tipo cívico o político en sitios web o en redes sociales;Actividades relacionadas con la participación política y social;Emitir opiniones políticas;45_54;17,2
Actividades relacionadas con la participación política y social: Emitir opiniones sobre asuntos de tipo cívico o político en sitios web o en redes sociales;Actividades relacionadas con la participación política y social;Emitir opiniones políticas;55_64;13,4
Actividades relacionadas con la participación política y social: Emitir opiniones sobre asuntos de tipo cívico o político en sitios web o en redes sociales;Actividades relacionadas con la participación política y social;Emitir opiniones políticas;65_74;12
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;16_24;10,7
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;25_34;14
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;35_44;14,5
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;45_54;11,5
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;55_64;9,7
Actividades relacionadas con la participación política y social: Tomar parte en consultas online o votaciones sobre asuntos cívicos o políticos;Actividades relacionadas con la participación política y social;Tomar parte en consultas online;65_74;8,8
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;16_24;30,4
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;25_34;39,2
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;35_44;21,8
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;45_54;16,6
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;55_64;8,3
Actividades relacionadas con la búsqueda de empleo: Buscar empleo o enviar una solicitud a un puesto de trabajo;Actividades relacionadas con la búsqueda de empleo;Buscar empleo;65_74;2
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;16_24;45,6
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;25_34;39,6
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;35_44;33,3
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;45_54;29
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;55_64;19,3
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Realizar cursos online;65_74;5,9
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;16_24;69,7
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;25_34;55,2
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;35_44;43,7
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;45_54;35,5
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;55_64;26,7
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar material de cursos online;65_74;13,4
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;16_24;21,1
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;25_34;27,3
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;35_44;27,2
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;45_54;19,9
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;55_64;10,5
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;65_74;7,3
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;16_24;52,6
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;25_34;79,2
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;35_44;78,6
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;45_54;72,9
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;55_64;68
Otras actividades: Banca por internet;Otras actividades;Banca por Internet;65_74;52,2
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;16_24;42,3
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;25_34;58,5
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;35_44;62,9
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;45_54;60,1
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;55_64;51,8
Otras actividades: Concertar una cita con un médico a través de una página web o de una app de móvil;Otras actividades;Concertar cita con el médico;65_74;41,5
